Entrer en contact | Enter into a contact

On se tutoie? | Do we talk to each other?
Si tu veux. | If you want.

Vous êtes en retard. | You are late.
Vous vous appelez comment? | What is your name?

Vous habitez òu? | Where do you live?
3 rue d'Italie, à Nice. | 3 street of Italie, in Nice.

Qu'est-ce que vous faites comme travail? | What do you do as a job?

Tu vas bien? | Are you doing well?
Est-ce que vous êtes japonaise? | Are you Japanese?

Monsieur Berger rencontre sa voisine Madame Dumas dans la rue. | Mister Berger meets his neighbor Madame Dumas in the street.

Vous allez bien? | Are you doing well?

Je vous présente Tom. | I present Tom to you.

Votre petite-fille? | Your granddaughter?
Qu'elle est jolie! | She is beautiful!

Ça te plaît, Tom? | Do you like it, Tom?

Elle ne parle pas encore. | She doesn't speak yet.
Elle a un an. | She is one year old.
Elle est adorable. | She is adorable.
Elle aime beaucoup les parcs et les fleurs. | She is very fond of parks and flowers.

Il fait beau, alors on va au parc. | It's sunny, so we're going to the park.

Bonne promenade et bonne journée! | Have a good walk and have a nice day!
Vous aussi, au revoir. | You too, goodbye.
